id,intitule,adresse,code postal,ville,depot
1,Cyril Wagner,1bis Basse de Para,54540,Pierre-Percée,60
2,Kévin Fievet,129a Rue du Général de Gaulle,67130,La Broque,62
3,Coline Maury,1075 Route des Jumeaux,88470,La Bourgonce,11
4,Valérie Guilbaud,64 Route De Himbeaumont,88470,La Voivre,13
5,Christian Besnard,61 Chemin du Bois Basselin,88100,Saint-Dié-des-Vosges,34
6,Théodore Cuvelier,3 Impasse du Kemberg,88100,Saint-Dié-des-Vosges,47
7,Léandre Baudouin,1 Rue de Frémont,67420,Saales,19
8,Patrick Frémont,36a Rue de la Bazaine,88000,Épinal,52
9,Jonathan Chauveau,13 Rue d'Ormont,88100,Saint-Dié-des-Vosges,47
10,Brigitte Maurin,16 Avenue 36e Division Us,88600,Bruyères,32
11,Yoann Ragot,12 Rue de Deyfosse,88480,Étival-Clairefontaine,2
12,Timeo Pouget,19bis Rue du Ménil,88480,Étival-Clairefontaine,3
13,Valère Gérard,8 Rue des Feignes,67130,La Broque,62
14,Denise Aubertin,3 Le Clos des Prairies,88120,Vagney,28
15,Aurore Philippon,15 Rue Gambetta,88100,Saint-Dié-des-Vosges,23
16,Patricia Papin,106 Rue de Claingoutte,88650,Saint-Léonard,45
17,Laurent Pillet,12a Rue de la Clairie,88250,La Bresse,49
18,Gaston Bérard,27 Grande Rue,88110,Luvigny,61
19,Jade Aubin,28 Chemin des Hauts Meix,88100,Nayemont-les-Fosses,21
20,Aurelia Dubourg,2 Rue René Vaucourt,88580,Saulcy-sur-Meurthe,46
21,Amélie Lucas,5 Chemin du Paquis,88480,Étival-Clairefontaine,3
22,Marcel Renaud,23 Rue Doyette,88200,Remiremont,29
23,Juliette Cochet,16 Rue Paul Doumer,88640,Granges-Aumontzey,51
24,Augustine Sevin,1844 Route St Blaise la Roche Poutay,67420,Plaine,17
25,Antoinette Billy,1 Chemin sous le Chastelat,88250,La Bresse,49
26,Maël Bouchet,1 Rue de la Mortagne,88600,Brouvelieures,33
27,Tania Renou,19bis Rue du Coq de Bruyères,88600,Champ-le-Duc,32
28,Daniel Prunier,12 Chemin du Baechlé,68140,Luttenbach-près-Munster,41
29,Magali Auffret,8 Rue des Magnolias,88150,Thaon-les-Vosges,54
30,Guilhem Cote,5 Rue des Violettes,88150,Thaon-les-Vosges,54
31,Philippe Le Bihan,10 Le Giron,88520,Bertrimoutier,36
32,Roméo Mousset,3 Rue des Violettes,88150,Thaon-les-Vosges,54
33,Loris Lebreton,10 Rue du Maréchal de Lattre,88120,Vagney,28
34,Lorrain Bocquet,401 Rue de Lorraine,88650,Saint-Léonard,45
35,Malone Guiot,41 Rue Malfosse,88210,Senones,15
36,Blanche Philibert,16 Chemin du Solamont,67420,Saales,19
37,Kewan Meyer,4 Rue des Roches de Fontaine,88120,Vagney,28
38,Lucienne Piat,3 Devant Saint Blaise,67420,Colroy-la-Roche,17
39,Renée Mauduit,101 Rue de la Resistance,88290,Saulxures-sur-Moselotte,50
40,Faustine Le Bars,15b Traverse de la Roche,88250,La Bresse,49
41,Pascale Tisserand,2 Rue du Casino,88400,Gérardmer,26
42,Josephine Lecocq,1 Impasse de l'Orme,88100,Saint-Dié-des-Vosges,23
43,Maé Delhaye,Rue du Camp,88700,Roville-aux-Chênes,7
44,Jeanne Ledoux,430 Route de Bertrimoutier,88100,Neuvillers-sur-Fave,35
45,Yvan Gueguen,902 Route de Raves,88100,Neuvillers-sur-Fave,35
46,Bertrand Deschamps,8 rue de l'Abbaye,88480,Étival-Clairefontaine,3
47,Côme Delattre,40 Chemin de Fracotte,67420,Plaine,17
48,Arthur Moulin,6 Le Haut Bout,88210,Hurbache,64
49,Marthe Collot,14 Rue de la Fourer,88200,Saint-Étienne-lès-Remiremont,29
50,Arlette Aubert,9 Route des Bouchaux,88250,La Bresse,49
51,Clovis Tournier,15 Rue de Genazeville,88640,Granges-Aumontzey,51
52,Liliane Godin,47 Rue du Gal de Lattre de Tassigny,68140,Munster,41
53,Annick Delannoy,2bis Impasse Rougichamps,88230,Plainfaing,37
54,Maude Jouve,3 Chemin de la Valence,54540,Badonviller,59
