customer_id,company_name,contact_name,contact_title,address,phone,fax
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,1001,030-0074321,030-0076545
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,1002,(5) 555-4729,(5) 555-3745
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,1003,(5) 555-3932',
AROUT,Around the Horn,Thomas Hardy,Sales Representative,1004,(171) 555-7788,(171) 555-6750
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,1005,0921-12 34 65,0921-12 34 67
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,1006,0621-08460,0621-08924
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,1007,88.60.15.31,88.60.15.32
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,1008,(91) 555 22 82,(91) 555 91 99
BONAP,Bon app'',Laurence Lebihan,Owner,1009,91.24.45.40,91.24.45.41
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,1010,(604) 555-4729,(604) 555-3745
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,1011,(171) 555-1212,
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,1012,(1) 135-5555,(1) 135-4892
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,1013,(5) 555-3392,(5) 555-7293
CHOPS,Chop-suey Chinese,Yang Wang,Owner,1014,0452-076545,
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,1015,(11) 555-7647,
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,1016,(171) 555-2282,(171) 555-9199
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,1017,0241-039123,0241-059428
DUMON,Du monde entier,Janine Labrune,Owner,1018,40.67.88.88,40.67.89.89
EASTC,Eastern Connection,Ann Devon,Sales Agent,1019,(171) 555-0297,(171) 555-3373
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,1020,7675-3425,7675-3426'
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,1021,(11) 555-9857,
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,1022,(91) 555 94 44,(91) 555 55 93
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,1023,20.16.10.16,20.16.10.17'
FOLKO,Folk och fä HB,Maria Larsson,Owner,1024,0695-34 67 21,
FRANK,Frankenversand,Peter Franken,Marketing Manager,1025,089-0877310,089-0877451
FRANR,France restauration,Carine Schmitt,Marketing Manager,1026,40.32.21.21,40.32.21.20
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,1027,011-4988260,011-4988261
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,1028,(1) 354-2534,(1) 354-2535
